word;transcription;translation;unit;topic;form
bag;bæɡ;сумка, шкільний ранець;None;OBJECTS AND PEOPLE;5
camera;ˈkæmrə;фотоапарат;None;OBJECTS AND PEOPLE;5
chair;tʃeə;стілець;None;OBJECTS AND PEOPLE;5
dad;dæd;тато;None;OBJECTS AND PEOPLE;5
friends;frendz;друзі;None;OBJECTS AND PEOPLE;5
phone;fəʊn;телефон;None;OBJECTS AND PEOPLE;5
photo;ˈfəʊtəʊ;фотографія;None;OBJECTS AND PEOPLE;5
students;ˈstjuːdənts;учні;None;OBJECTS AND PEOPLE;5
table;ˈteɪbl;стіл;None;OBJECTS AND PEOPLE;5
watch;wɒtʃ;наручний годинник;None;OBJECTS AND PEOPLE;5
Argentina;ˌɑːdʒənˈtiːnə;Аргентина;None;COUNTRIES AND NATIONALITIES;5
Argentinian;ˌɑːdʒənˈtiniən;аргентинець (-ка);None;COUNTRIES AND NATIONALITIES;5
Brazil;brəˈzɪl;Бразлія;None;COUNTRIES AND NATIONALITIES;5
Brazilian;brəˈzɪljən;бразилець, бразилійка;None;COUNTRIES AND NATIONALITIES;5
China;ˈtʃaɪnə;Китай;None;COUNTRIES AND NATIONALITIES;5
Chinese;tʃaɪˈniːz;китаєць, китаянка;None;COUNTRIES AND NATIONALITIES;5
Italy;ˈɪtəli;Італія;None;COUNTRIES AND NATIONALITIES;5
Italian;ɪˈtæljən;італієць, італійка;None;COUNTRIES AND NATIONALITIES;5
Mexico;ˈmeksɪkəʊ;Мексика;None;COUNTRIES AND NATIONALITIES;5
Mexican;ˈmeksɪkən;мексиканець (-ка);None;COUNTRIES AND NATIONALITIES;5
Ukraine;juːˈkreɪn;Україна;None;COUNTRIES AND NATIONALITIES;5
Ukrainian;juːˈkreɪniən;українець (-ка);None;COUNTRIES AND NATIONALITIES;5
Spain;ˈspeɪn;Іспанія;None;COUNTRIES AND NATIONALITIES;5
Spanish;ˈspænɪʃ;іспанець (-ка);None;COUNTRIES AND NATIONALITIES;5
Turkey;ˈtɜːki;Туреччина;None;COUNTRIES AND NATIONALITIES;5
Turkish;ˈtɜːkɪʃ;турок, туркеня;None;COUNTRIES AND NATIONALITIES;5
baby;ˈbeɪbi;немовля;1;FAMILIES;5
brother;ˈbrʌðə;брат;1;FAMILIES;5
brothers;ˈbrʌðəz;брати;1;FAMILIES;5
child;tʃaɪld;дитина;1;FAMILIES;5
children;ˈtʃɪldrən;діти;1;FAMILIES;5
dad;dæd;тато;1;FAMILIES;5
daughter;ˈdɔːtə;донька;1;FAMILIES;5
father;ˈfɑːðə;батько;1;FAMILIES;5
husband;ˈhʌzbənd;чоловік;1;FAMILIES;5
mother;ˈmʌðə;мати;1;FAMILIES;5
mum;mʌm;мама;1;FAMILIES;5
parents;ˈpeərənts;батьки;1;FAMILIES;5
sister;ˈsɪstə;сестра;1;FAMILIES;5
son;sʌn;син;1;FAMILIES;5
wife;waɪf;дружина;1;FAMILIES;5
bored;bɔːd;знудьгований;1;ADJECTIVES: FEELINGS;5
clever;ˈklevə;розумний;1;ADJECTIVES: FEELINGS;5
funny;ˈfʌni;смішний;1;ADJECTIVES: FEELINGS;5
happy;ˈhæpi;щасливий;1;ADJECTIVES: FEELINGS;5
hot;hɒt;жарко;1;ADJECTIVES: FEELINGS;5
hungry;ˈhʌŋɡri;голодний;1;ADJECTIVES: FEELINGS;5
nice;naɪs;приємний;1;ADJECTIVES: FEELINGS;5
sad;sæd;сумний;1;ADJECTIVES: FEELINGS;5
tired;taɪəd;втомлений;1;ADJECTIVES: FEELINGS;5
banana;bəˈnɑːnə;банан;1;THINGS IN MY SCHOOL BAG;5
chocolate;ˈtʃɒklət;шоколад;1;THINGS IN MY SCHOOL BAG;5
coat;kəʊt;пальто;1;THINGS IN MY SCHOOL BAG;5
football;ˈfʊtbɔːl;футбольний м’яч;1;THINGS IN MY SCHOOL BAG;5
gloves;ɡlʌvz;рукавички;1;THINGS IN MY SCHOOL BAG;5
hat;hæt;шапка;1;THINGS IN MY SCHOOL BAG;5
keys;kiːz;ключі;1;THINGS IN MY SCHOOL BAG;5
scarf;skɑːf;шарф;1;THINGS IN MY SCHOOL BAG;5
wallet;ˈwɒlɪt;гаманець;1;THINGS IN MY SCHOOL BAG;5
water bottle;ˈwɔːtə ˈbɒtəl;пляшка для води;1;THINGS IN MY SCHOOL BAG;5
big;bɪɡ;великий;1;ADJECTIVES: THINGS;5
blue;bluː;синій;1;ADJECTIVES: THINGS;5
clean;kliːn;чистий;1;ADJECTIVES: THINGS;5
dark;dɑːk;темний;1;ADJECTIVES: THINGS;5
dirty;ˈdɜːti;брудний;1;ADJECTIVES: THINGS;5
light blue;laɪt bluː;блакитний;1;ADJECTIVES: THINGS;5
long;lɒŋ;довгий;1;ADJECTIVES: THINGS;5
new;njuː;новий;1;ADJECTIVES: THINGS;5
old;əʊld;старий;1;ADJECTIVES: THINGS;5
short;ʃɔːt;короткий;1;ADJECTIVES: THINGS;5
small;smɔːl;малий;1;ADJECTIVES: THINGS;5
bath;bɑːθ;ванна;4;ROOMS;5
bathroom;ˈbɑːθruːm;ванна кімната;4;ROOMS;5
bedroom;ˈbedruːm;спальня;4;ROOMS;5
dining room;ˈdaɪnɪŋ ruːm;столова;4;ROOMS;5
door;dɔː;двері;4;ROOMS;5
floor;flɔː;підлога;4;ROOMS;5
hall;hɔːl;передпокій;4;ROOMS;5
kitchen;ˈkɪtʃɪn;кухня;4;ROOMS;5
living room;ˈlɪvɪŋ ruːm;вітальня;4;ROOMS;5
shower;ˈʃaʊə;душ;4;ROOMS;5
toilet;ˈtɔɪlət;туалет;4;ROOMS;5
wall;wɔːl;стіна;4;ROOMS;5
window;ˈwɪndəʊ;вікно;4;ROOMS;5
bed;bed;ліжко;4;THINGS IN MY ROOM;5
board games;bɔːd ˌɡeɪmz;настільні ігри;4;THINGS IN MY ROOM;5
bookcase;ˈbʊkkeɪs;книжкова шафа;4;THINGS IN MY ROOM;5
clock;klɒk;годинник;4;THINGS IN MY ROOM;5
computer;kəmˈpjuːtə;комп’ютер;4;THINGS IN MY ROOM;5
clothes;kləʊðz;одяг;4;THINGS IN MY ROOM;5
guitar;ɡɪˈtɑː;гітара;4;THINGS IN MY ROOM;5
poster;ˈpəʊstə;постер;4;THINGS IN MY ROOM;5
pet fish;pet fɪʃ;акваріумна рибка;4;THINGS IN MY ROOM;5
television;ˈtelɪvɪʒən;телевізор;4;THINGS IN MY ROOM;5
TV;ˌtiːˈviː;телевізор;4;THINGS IN MY ROOM;5
toys;tɔɪz;іграшки;4;THINGS IN MY ROOM;5
biscuits;ˈbɪskɪts;печиво;3;FOOD;5
bread;bred;хліб;3;FOOD;5
butter;ˈbʌtə;вершкове масло;3;FOOD;5
cakes;keɪks;тістечка;3;FOOD;5
cheese;tʃiːz;сир;3;FOOD;5
chicken;ˈtʃɪkɪn;курятина;3;FOOD;5
chips;tʃɪps;картопля фрі;3;FOOD;5
drinks;drɪŋks;напої;3;FOOD;5
eggs;eɡz;яйця;3;FOOD;5
fruit;fru:t;фрукти;3;FOOD;5
juice;dʒuːs;сік;3;FOOD;5
lemonade;ˌleməˈneɪd;лимонад;3;FOOD;5
meat;mi:t;м’ясо;3;FOOD;5
milk;mɪlk;молоко;3;FOOD;5
pasta;ˈpæstə;макаронні вироби;3;FOOD;5
potatoes;pəˈteɪtəʊz;картопля;3;FOOD;5
rice;raɪs;рис;3;FOOD;5
soup;suːp;суп;3;FOOD;5
sweet snacks;swiːt snæks;солодкі снеки;3;FOOD;5
tomatoes;təˈmɑːtəʊz;помідори;3;FOOD;5
vegetables;ˈvedʒtəbəlz;овочі;3;FOOD;5
am;ˌeɪˈem;години від півночі до полудня;3;TELLING THE TIME (1);5
o’clock;əˈklɒk;прислівник на позначення годин;3;TELLING THE TIME (1);5
pm;ˌpiːˈem;години від полудня до півночі;3;TELLING THE TIME (1);5
fifty;ˈfɪfti;п’ятдесят;3;TELLING THE TIME (1);5
forty;ˈfɔːti;сорок;3;TELLING THE TIME (1);5
sixty;ˈsɪksti;шістдесят;3;TELLING THE TIME (1);5
thirty;ˈθɜːti;тридцять;3;TELLING THE TIME (1);5
cook;kʊk;готувати (їжу);6;ACTIVITIES AND SKILLS;5
paint;peɪnt;малювати фарбами;6;ACTIVITIES AND SKILLS;5
play;pleɪ;грати;6;ACTIVITIES AND SKILLS;5
remember;rɪˈmembə;запам’ятовувати;6;ACTIVITIES AND SKILLS;5
ride;raɪd;їздити верхи;6;ACTIVITIES AND SKILLS;5
sail;seɪl;плавати на човні;6;ACTIVITIES AND SKILLS;5
sing;sɪŋ;співати;6;ACTIVITIES AND SKILLS;5
skate;skeɪt;кататися на ковзанах;6;ACTIVITIES AND SKILLS;5
speak;spiːk;розмовляти;6;ACTIVITIES AND SKILLS;5
swim;swɪm;плавати;6;ACTIVITIES AND SKILLS;5
arm;ɑːm;рука (від зап’ястка до плеча);6;PARTS OF THE BODY;5
ear;ɪə;вухо;6;PARTS OF THE BODY;5
eye;aɪ;око;6;PARTS OF THE BODY;5
face;feɪs;обличчя;6;PARTS OF THE BODY;5
feet;fiːt;стопи;6;PARTS OF THE BODY;5
foot;fʊt;стопа;6;PARTS OF THE BODY;5
hair;heə;волосся;6;PARTS OF THE BODY;5
hand;hænd;рука (кисть);6;PARTS OF THE BODY;5
head;hed;голова;6;PARTS OF THE BODY;5
leg;leɡ;нога;6;PARTS OF THE BODY;5
mouth;maʊθ;рот;6;PARTS OF THE BODY;5
nose;nəʊz;ніс;6;PARTS OF THE BODY;5
teeth;tiːθ;зуби;6;PARTS OF THE BODY;5
tooth;tuːθ;зуб;6;PARTS OF THE BODY;5
It’s twenty-five past …;ɪts ˈtwenti faɪv pɑːst;25 хвилин на …;6;UNIT 5VOCABULARY LISTEP;5
past;pɑːst;«після» - для хвилин від 1 до 30;6;UNIT 5VOCABULARY LISTEP;5
to;tʊ;«до» - для хвилин від 31 до 59;6;UNIT 5VOCABULARY LISTEP;5
art;ɑːt;мистецтво;6;SCHOOL SUBJECTS;5
English;ˈɪŋɡlɪʃ;англійська мова;6;SCHOOL SUBJECTS;5
French;frentʃ;французька мова;6;SCHOOL SUBJECTS;5
geography;dʒiˈɒɡrəfi;географія;6;SCHOOL SUBJECTS;5
history;ˈhɪstəri;історія;6;SCHOOL SUBJECTS;5
IT;ˌaɪˈtiː;інформатика;6;SCHOOL SUBJECTS;5
maths;mæθs;математика;6;SCHOOL SUBJECTS;5
music;ˈmjuːzɪk;музика;6;SCHOOL SUBJECTS;5
PE;ˌpiːˈiː;фізичне виховання;6;SCHOOL SUBJECTS;5
science;ˈsaɪəns;природознавство;6;SCHOOL SUBJECTS;5
catch;kætʃ;ловити, сідати (на автобус);6;WORDS WITH TWO MEANINGS;5
come;kʌm;приходити, бути родом (з певної країни);6;WORDS WITH TWO MEANINGS;5
get;ɡet;отримувати, добиратися;6;WORDS WITH TWO MEANINGS;5
meet;miːt;зустрічати, знайомитися;6;WORDS WITH TWO MEANINGS;5
see;siː;бачити, бачитися;6;WORDS WITH TWO MEANINGS;5
think;θɪŋk;думати, вважати;6;WORDS WITH TWO MEANINGS;5
UNIT 8It’s four o’clock.;ɪts fɔː əˈklɒk;Зараз четверта година.;6;WORDS WITH TWO MEANINGS;5
It’s 9 am.;ɪts naɪn ˌeɪˈem;Зараз 9 година ранку.;6;WORDS WITH TWO MEANINGS;5
It’s one ten.;ɪts wʌn ten;Зараз 10 хвилин на другу.;6;WORDS WITH TWO MEANINGS;5
It’s 7 pm.;ɪts ˈsevən ˌpiːˈem;Зараз 7 година вечора.;6;WORDS WITH TWO MEANINGS;5
It’s three thirty.;ɪts θriː ˈθɜːti;Зараз пів на четверту.;6;WORDS WITH TWO MEANINGS;5
It’s two fifty.;ɪts tuː ˈfɪfti;Зараз за 10 хвилин третя.;6;WORDS WITH TWO MEANINGS;5
get dressed;ɡet drest;одягатися;6;DAILY ACTIVITIES;5
get up;ɡet ʌp;вставати з ліжка;6;DAILY ACTIVITIES;5
go to bed;ɡəʊ tə bed;йти спати;6;DAILY ACTIVITIES;5
have a shower;hæv ə ʃaʊə;приймати душ;6;DAILY ACTIVITIES;5
have breakfast;hæv ˈbrekfəst;снідати;6;DAILY ACTIVITIES;5
have dinner;hæv ˈdɪnə;вечеряти;6;DAILY ACTIVITIES;5
have lunch;hæv lʌntʃ;обідати;6;DAILY ACTIVITIES;5
walk to school;wɔːk tə skuːl;йти до школи пішки;6;DAILY ACTIVITIES;5
wash your face;wɒʃ jə feɪs;вмиватися;6;DAILY ACTIVITIES;5
It’s half past …;ɪts hɑːf pɑːst;Пів на ….;6;TELLING THE TIME (2);5
It’s … o’clock;ɪts əˈklɒk;Зараз … година;6;TELLING THE TIME (2);5
It’s quarter to …;ɪts ˈkwɔːtə tʊ;За чверть …;6;TELLING THE TIME (2);5
It’s ten to …;ɪts ten tʊ;За 10 хвилин…;6;TELLING THE TIME (2);5
athletics;æθˈletɪks;легка атлетика;7;AFTER-SCHOOL ACTIVITIES;5
board games;bɔːd ˌɡeɪmz;настільні ігри;7;AFTER-SCHOOL ACTIVITIES;5
coding;ˈkəʊdɪŋ;кодування;7;AFTER-SCHOOL ACTIVITIES;5
cookery;ˈkʊkəri;кулінарія;7;AFTER-SCHOOL ACTIVITIES;5
drama;ˈdrɑːmə;театральне мистецтво;7;AFTER-SCHOOL ACTIVITIES;5
film;fɪlm;фільм;7;AFTER-SCHOOL ACTIVITIES;5
horse riding;ˈhɔːs ˌraɪdɪŋ;верхова їзда;7;AFTER-SCHOOL ACTIVITIES;5
Italian;ɪˈtæljən;італійська мова;7;AFTER-SCHOOL ACTIVITIES;5
judo;ˈdʒuːdəʊ;дзюдо;7;AFTER-SCHOOL ACTIVITIES;5
yoga;ˈjəʊɡə;йога;7;AFTER-SCHOOL ACTIVITIES;5
carry the shopping;ˈkæri ðə ˈʃɒpɪŋ;нести куплені продукти;7;JOBS AROUND THE HOUSE;5
clean the bath;kliːn ðə bɑːθ;мити ванну;7;JOBS AROUND THE HOUSE;5
cook dinner;kʊk ˈdɪnə;готувати вечерю;7;JOBS AROUND THE HOUSE;5
do the washing-up;duː ðə ˈwɒʃɪŋ ʌp;мити посуд;7;JOBS AROUND THE HOUSE;5
feed the cat;fiːd ðə kæt;годувати кота;7;JOBS AROUND THE HOUSE;5
make your bed;meɪk jə bed;заправляти ліжко;7;JOBS AROUND THE HOUSE;5
